Date,Thème,Nombre de courriels,Proportion par jour
2020-03-01,5G,,
2020-03-01,masque,,
2020-03-02,5G,,
2020-03-02,masque,,
2020-03-03,5G,1.0,50.0
2020-03-03,masque,,
2020-03-04,5G,,
2020-03-04,masque,,
2020-03-05,5G,,
2020-03-05,masque,,
2020-03-06,5G,,
2020-03-06,masque,,
2020-03-07,5G,,
2020-03-07,masque,1.0,25.0
2020-03-08,5G,,
2020-03-08,masque,1.0,25.0
2020-03-09,5G,,
2020-03-09,masque,1.0,16.67
2020-03-10,5G,,
2020-03-10,masque,,
2020-03-11,5G,,
2020-03-11,masque,,
2020-03-12,5G,,
2020-03-12,masque,1.0,16.67
2020-03-13,5G,,
2020-03-13,masque,3.0,18.75
2020-03-14,5G,,
2020-03-14,masque,1.0,7.14
2020-03-15,5G,,
2020-03-15,masque,1.0,7.69
2020-03-16,5G,,
2020-03-16,masque,1.0,5.0
2020-03-17,5G,1.0,1.82
2020-03-17,masque,2.0,3.64
2020-03-18,5G,,
2020-03-18,masque,2.0,2.7
2020-03-19,5G,2.0,4.55
2020-03-19,masque,2.0,4.55
2020-03-20,5G,1.0,2.78
2020-03-20,masque,,
2020-03-21,5G,,
2020-03-21,masque,,
2020-03-22,5G,1.0,2.04
2020-03-22,masque,1.0,2.04
2020-03-23,5G,,
2020-03-23,masque,1.0,1.82
2020-03-24,5G,,
2020-03-24,masque,5.0,10.64
2020-03-25,5G,1.0,2.33
2020-03-25,masque,1.0,2.33
2020-03-26,5G,,
2020-03-26,masque,1.0,1.32
2020-03-27,5G,2.0,1.69
2020-03-27,masque,1.0,0.85
2020-03-28,5G,,
2020-03-28,masque,3.0,2.27
2020-03-29,5G,,
2020-03-29,masque,2.0,1.9
2020-03-30,5G,,
2020-03-30,masque,2.0,2.44
2020-03-31,5G,,
2020-03-31,masque,5.0,5.49
2020-04-01,5G,,
2020-04-01,masque,6.0,9.09
2020-04-02,5G,,
2020-04-02,masque,11.0,18.03
2020-04-03,5G,,
2020-04-03,masque,7.0,7.78
2020-04-04,5G,,
2020-04-04,masque,4.0,6.25
2020-04-05,5G,,
2020-04-05,masque,7.0,13.46
2020-04-06,5G,1.0,1.59
2020-04-06,masque,6.0,9.52
2020-04-07,5G,2.0,2.94
2020-04-07,masque,5.0,7.35
2020-04-08,5G,,
2020-04-08,masque,2.0,2.86
2020-04-09,5G,3.0,3.7
2020-04-09,masque,2.0,2.47
2020-04-10,5G,,
2020-04-10,masque,1.0,1.92
2020-04-11,5G,,
2020-04-11,masque,3.0,4.23
2020-04-12,5G,1.0,1.79
2020-04-12,masque,,
2020-04-13,5G,5.0,4.27
2020-04-13,masque,1.0,0.85
2020-04-14,5G,3.0,3.09
2020-04-14,masque,,
2020-04-15,5G,2.0,2.06
2020-04-15,masque,2.0,2.06
2020-04-16,5G,1.0,1.16
2020-04-16,masque,,
2020-04-17,5G,,
2020-04-17,masque,1.0,1.09
2020-04-18,5G,2.0,2.3
2020-04-18,masque,,
2020-04-19,5G,,
2020-04-19,masque,,
2020-04-20,5G,,
2020-04-20,masque,1.0,1.39
2020-04-21,5G,1.0,1.49
2020-04-21,masque,1.0,1.49
2020-04-22,5G,5.0,6.25
2020-04-22,masque,1.0,1.25
2020-04-23,5G,,
2020-04-23,masque,1.0,2.13
2020-04-24,5G,1.0,2.08
2020-04-24,masque,1.0,2.08
2020-04-25,5G,1.0,2.33
2020-04-25,masque,2.0,4.65
2020-04-26,5G,,
2020-04-26,masque,2.0,3.64
2020-04-27,5G,1.0,1.79
2020-04-27,masque,1.0,1.79
2020-04-28,5G,1.0,1.82
2020-04-28,masque,2.0,3.64
2020-04-29,5G,6.0,8.82
2020-04-29,masque,2.0,2.94
2020-04-30,5G,,
2020-04-30,masque,1.0,1.72
2020-05-01,5G,1.0,2.04
2020-05-01,masque,2.0,4.08
2020-05-02,5G,1.0,6.25
2020-05-02,masque,3.0,18.75
2020-05-03,5G,,
2020-05-03,masque,1.0,2.94
2020-05-04,5G,3.0,4.48
2020-05-04,masque,3.0,4.48
2020-05-05,5G,5.0,10.0
2020-05-05,masque,4.0,8.0
2020-05-06,5G,8.0,14.55
2020-05-06,masque,2.0,3.64
2020-05-07,5G,,
2020-05-07,masque,2.0,4.88
2020-05-08,5G,5.0,16.13
2020-05-08,masque,,
2020-05-09,5G,2.0,7.41
2020-05-09,masque,2.0,7.41
2020-05-10,5G,1.0,2.27
2020-05-10,masque,2.0,4.55
2020-05-11,5G,6.0,20.69
2020-05-11,masque,,
2020-05-12,5G,,
2020-05-12,masque,3.0,6.12
2020-05-13,5G,2.0,5.13
2020-05-13,masque,4.0,10.26
2020-05-14,5G,,
2020-05-14,masque,2.0,6.45
2020-05-15,5G,,
2020-05-15,masque,4.0,13.79
2020-05-16,5G,1.0,3.45
2020-05-16,masque,8.0,27.59
2020-05-17,5G,3.0,6.82
2020-05-17,masque,6.0,13.64
2020-05-18,5G,1.0,3.03
2020-05-18,masque,5.0,15.15
2020-05-19,5G,,
2020-05-19,masque,3.0,11.11
2020-05-20,5G,,
2020-05-20,masque,1.0,5.88
2020-05-21,5G,,
2020-05-21,masque,4.0,19.05
2020-05-22,5G,1.0,3.57
2020-05-22,masque,5.0,17.86
2020-05-23,5G,1.0,5.56
2020-05-23,masque,1.0,5.56
2020-05-24,5G,,
2020-05-24,masque,,
2020-05-25,5G,2.0,12.5
2020-05-25,masque,,
2020-05-26,5G,1.0,5.88
2020-05-26,masque,,
2020-05-27,5G,,
2020-05-27,masque,,
2020-05-28,5G,,
2020-05-28,masque,2.0,14.29
2020-05-29,5G,,
2020-05-29,masque,2.0,11.11
2020-05-30,5G,,
2020-05-30,masque,1.0,8.33
2020-05-31,5G,,
2020-05-31,masque,1.0,5.88
2020-06-01,5G,,
2020-06-01,masque,2.0,10.53
2020-06-02,5G,,
2020-06-02,masque,4.0,14.81
2020-06-03,5G,,
2020-06-03,masque,1.0,5.88
2020-06-04,5G,1.0,4.76
2020-06-04,masque,1.0,4.76
2020-06-05,5G,2.0,11.11
2020-06-05,masque,2.0,11.11
2020-06-06,5G,1.0,10.0
2020-06-06,masque,1.0,10.0
2020-06-07,5G,,
2020-06-07,masque,4.0,12.9
2020-06-08,5G,3.0,6.12
2020-06-08,masque,2.0,4.08
2020-06-09,5G,1.0,4.35
2020-06-09,masque,,
2020-06-10,5G,,
2020-06-10,masque,,
2020-06-11,5G,1.0,9.09
2020-06-11,masque,1.0,9.09
2020-06-12,5G,2.0,14.29
2020-06-12,masque,1.0,7.14
2020-06-13,5G,,
2020-06-13,masque,2.0,20.0
2020-06-14,5G,,
2020-06-14,masque,,
2020-06-15,5G,,
2020-06-15,masque,,
2020-06-16,5G,1.0,11.11
2020-06-16,masque,,
2020-06-17,5G,1.0,25.0
2020-06-17,masque,1.0,25.0
2020-06-18,5G,,
2020-06-18,masque,,
2020-06-19,5G,1.0,10.0
2020-06-19,masque,,
2020-06-20,5G,,
2020-06-20,masque,,
2020-06-21,5G,1.0,12.5
2020-06-21,masque,,
2020-06-22,5G,,
2020-06-22,masque,1.0,7.69
2020-06-23,5G,,
2020-06-23,masque,,
2020-06-24,5G,,
2020-06-24,masque,1.0,25.0
2020-06-25,5G,,
2020-06-25,masque,,
2020-06-26,5G,,
2020-06-26,masque,,
2020-06-27,5G,,
2020-06-27,masque,,
2020-06-28,5G,,
2020-06-28,masque,,
2020-06-29,5G,,
2020-06-29,masque,3.0,27.27
2020-06-30,5G,,
2020-06-30,masque,2.0,16.67
2020-07-01,5G,,
2020-07-01,masque,1.0,16.67
2020-07-02,5G,,
2020-07-02,masque,1.0,12.5
2020-07-03,5G,,
2020-07-03,masque,,
2020-07-04,5G,,
2020-07-04,masque,1.0,20.0
2020-07-05,5G,,
2020-07-05,masque,,
2020-07-06,5G,,
2020-07-06,masque,,
2020-07-07,5G,,
2020-07-07,masque,3.0,33.33
2020-07-08,5G,,
2020-07-08,masque,2.0,25.0
2020-07-09,5G,,
2020-07-09,masque,3.0,21.43
2020-07-10,5G,1.0,8.33
2020-07-10,masque,2.0,16.67
2020-07-11,5G,,
2020-07-11,masque,1.0,10.0
2020-07-12,5G,,
2020-07-12,masque,4.0,30.77
2020-07-13,5G,,
2020-07-13,masque,10.0,37.04
2020-07-14,5G,,
2020-07-14,masque,8.0,40.0
2020-07-15,5G,,
2020-07-15,masque,4.0,28.57
2020-07-16,5G,,
2020-07-16,masque,7.0,36.84
2020-07-17,5G,,
2020-07-17,masque,4.0,33.33
2020-07-18,5G,,
2020-07-18,masque,1.0,10.0
2020-07-19,5G,,
2020-07-19,masque,1.0,11.11
2020-07-20,5G,,
2020-07-20,masque,2.0,16.67
2020-07-21,5G,,
2020-07-21,masque,1.0,9.09
2020-07-22,5G,,
2020-07-22,masque,4.0,18.18
2020-07-23,5G,,
2020-07-23,masque,2.0,14.29
2020-07-24,5G,,
2020-07-24,masque,,
2020-07-25,5G,,
2020-07-25,masque,,
2020-07-26,5G,,
2020-07-26,masque,,
2020-07-27,5G,1.0,7.14
2020-07-27,masque,1.0,7.14
2020-07-28,5G,1.0,4.76
2020-07-28,masque,4.0,19.05
2020-07-29,5G,,
2020-07-29,masque,2.0,11.76
2020-07-30,5G,,
2020-07-30,masque,3.0,15.79
2020-07-31,5G,,
2020-07-31,masque,1.0,12.5
2020-08-01,5G,,
2020-08-01,masque,,
2020-08-02,5G,,
2020-08-02,masque,,
2020-08-03,5G,,
2020-08-03,masque,,
2020-08-04,5G,,
2020-08-04,masque,3.0,18.75
2020-08-05,5G,,
2020-08-05,masque,1.0,10.0
2020-08-06,5G,,
2020-08-06,masque,,
2020-08-07,5G,,
2020-08-07,masque,,
2020-08-08,5G,,
2020-08-08,masque,2.0,28.57
2020-08-09,5G,,
2020-08-09,masque,,
2020-08-10,5G,,
2020-08-10,masque,2.0,25.0
2020-08-11,5G,,
2020-08-11,masque,3.0,37.5
2020-08-12,5G,,
2020-08-12,masque,1.0,8.33
2020-08-13,5G,,
2020-08-13,masque,,
2020-08-14,5G,,
2020-08-14,masque,,
2020-08-15,5G,,
2020-08-15,masque,,
2020-08-16,5G,,
2020-08-16,masque,,
2020-08-17,5G,,
2020-08-17,masque,,
2020-08-18,5G,,
2020-08-18,masque,,
2020-08-19,5G,,
2020-08-19,masque,,
2020-08-20,5G,,
2020-08-20,masque,,
2020-08-21,5G,,
2020-08-21,masque,,
2020-08-22,5G,,
2020-08-22,masque,,
2020-08-23,5G,1.0,6.25
2020-08-23,masque,3.0,18.75
2020-08-24,5G,,
2020-08-24,masque,5.0,41.67
2020-08-25,5G,,
2020-08-25,masque,1.0,10.0
2020-08-26,5G,,
2020-08-26,masque,3.0,23.08
2020-08-27,5G,,
2020-08-27,masque,,
2020-08-28,5G,,
2020-08-28,masque,,
2020-08-29,5G,1.0,7.69
2020-08-29,masque,2.0,15.38
2020-08-30,5G,,
2020-08-30,masque,,
2020-08-31,5G,,
2020-08-31,masque,,
